epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,100.873,1.705,1.9293,1.71086,0.48259,0.43836,0.42127,0.17457,1.8656,1.98784,1.89773,0.0011684,0.0011684,0.0011684
44,103.167,1.70001,2.05831,1.74746,0.39493,0.46495,0.38772,0.15932,1.78825,1.95342,1.85978,0.0011486,0.0011486,0.0011486
45,105.508,1.68991,1.97897,1.73394,0.36673,0.43633,0.35349,0.13831,1.75559,2.02624,1.81895,0.0011288,0.0011288,0.0011288
46,107.815,1.67012,1.96576,1.72367,0.43175,0.458,0.36234,0.14801,1.69722,1.99075,1.87071,0.001109,0.001109,0.001109
47,110.176,1.65991,1.9252,1.68198,0.51661,0.45205,0.42051,0.17091,2.03495,1.85595,1.97676,0.0010892,0.0010892,0.0010892
48,112.489,1.71119,1.93308,1.70818,0.4074,0.4144,0.34634,0.13987,2.05752,2.19226,2.00389,0.0010694,0.0010694,0.0010694
49,114.835,1.63878,1.92439,1.68513,0.39092,0.52055,0.40422,0.15955,1.95803,1.92618,1.93359,0.0010496,0.0010496,0.0010496
50,117.24,1.70151,1.95854,1.72996,0.38366,0.45205,0.36507,0.16147,1.88462,1.87898,1.85322,0.0010298,0.0010298,0.0010298
51,119.562,1.67168,1.96143,1.7307,0.38134,0.47945,0.42367,0.17159,1.94836,1.85293,1.97082,0.00101,0.00101,0.00101
52,121.938,1.64583,1.96083,1.69909,0.38566,0.41096,0.3603,0.14864,1.9166,1.9404,1.94063,0.0009902,0.0009902,0.0009902
53,124.448,1.64056,1.97112,1.6821,0.5242,0.42261,0.42132,0.18435,1.81831,1.84243,1.94278,0.0009704,0.0009704,0.0009704
54,127.062,1.68303,1.96133,1.74296,0.53079,0.41096,0.40003,0.16108,1.89246,1.85393,2.00514,0.0009506,0.0009506,0.0009506
55,129.655,1.62498,1.83566,1.67097,0.39675,0.41096,0.43415,0.17177,2.0021,1.95172,1.94675,0.0009308,0.0009308,0.0009308
56,132.15,1.6809,1.92838,1.71849,0.48442,0.39726,0.43163,0.17466,1.9781,2.00481,1.92153,0.000911,0.000911,0.000911
57,134.445,1.60545,1.86912,1.69166,0.42543,0.4869,0.40146,0.17425,1.86057,1.79141,1.90633,0.0008912,0.0008912,0.0008912
58,136.752,1.65549,1.89416,1.69052,0.39344,0.50647,0.37392,0.15013,1.92304,1.94063,1.94381,0.0008714,0.0008714,0.0008714
59,139.092,1.6158,1.83189,1.65206,0.5049,0.51692,0.45904,0.19412,1.92259,1.92427,1.96025,0.0008516,0.0008516,0.0008516
60,141.534,1.66519,1.87215,1.68241,0.39508,0.45632,0.37406,0.15961,1.86688,1.82942,1.88345,0.0008318,0.0008318,0.0008318
61,143.953,1.61111,1.84491,1.66611,0.49002,0.39726,0.43918,0.1703,1.8026,1.89205,1.91545,0.000812,0.000812,0.000812
62,146.294,1.60691,1.80046,1.63301,0.5277,0.5051,0.43431,0.17388,1.90393,1.7983,1.88533,0.0007922,0.0007922,0.0007922
63,148.599,1.6195,1.82525,1.66513,0.5357,0.41094,0.38038,0.15087,2.03995,2.15495,2.06607,0.0007724,0.0007724,0.0007724
64,150.934,1.62391,1.85926,1.69412,0.38225,0.47945,0.36644,0.14703,1.92055,1.82768,1.93135,0.0007526,0.0007526,0.0007526
65,153.244,1.60052,1.81544,1.66346,0.50468,0.40483,0.41573,0.17983,1.83501,1.83934,1.95898,0.0007328,0.0007328,0.0007328
66,155.557,1.60124,1.81107,1.64526,0.50494,0.42466,0.46378,0.18108,1.91056,1.78795,1.96146,0.000713,0.000713,0.000713
67,157.858,1.57549,1.7959,1.64451,0.45529,0.45804,0.41515,0.17711,1.90477,1.72719,1.90997,0.0006932,0.0006932,0.0006932
68,160.186,1.60316,1.80425,1.65414,0.54589,0.49315,0.46041,0.17781,1.8769,1.78699,1.9241,0.0006734,0.0006734,0.0006734
69,162.735,1.57536,1.83487,1.62933,0.58963,0.45205,0.42589,0.16792,1.84055,1.90248,1.88161,0.0006536,0.0006536,0.0006536
70,165.243,1.60505,1.82323,1.65234,0.4675,0.47945,0.42697,0.17567,1.92871,1.87042,1.93998,0.0006338,0.0006338,0.0006338
71,167.733,1.59929,1.77462,1.66529,0.43906,0.45035,0.43323,0.17727,1.83084,1.85665,1.84523,0.000614,0.000614,0.000614
72,170.102,1.58494,1.73769,1.63144,0.59826,0.44883,0.4779,0.20786,1.83392,1.87848,1.88192,0.0005942,0.0005942,0.0005942
73,172.498,1.50781,1.71822,1.57593,0.41302,0.50685,0.44931,0.19563,1.83834,1.85786,1.88634,0.0005744,0.0005744,0.0005744
74,174.856,1.53306,1.76029,1.62184,0.56994,0.47945,0.49648,0.20635,1.85623,1.72264,1.94089,0.0005546,0.0005546,0.0005546
